ANIMAL	YEAR	SEX	CAP_TRAP	RS	MS	SVL	BCI_RESID
13BTS075	2010	F	1	0	0	1133.4	0.141
13BTS075	2011	F	0	0	0	1133.667	0.061
13BTS060	2010	F	0	3	1	1135.5	0.111
13BTS004	2010	F	1	0	0	1135.667	0.229
13BTS460	2017	F	0	0	0	1137.1	0.263
13BTS111	2010	F	7	0	0	1137.25	0.199
13BTS114	2011	F	2	0	0	1137.333	-0.083
13BTS368	2018	F	0	0	0	1139.333	0.286
13BTS039	2010	F	1	0	0	1139.75	0.231
13BTS056	2010	F	0	2	1	1140	0.181
13BTS381	2017	F	2	0	0	1144.214	0.097
13BTS049	2009	F	1	0	0	1145	0.604
13BTS178	2015	F	2	0	0	1146.444	-0.074
13BTS272	2013	F	0	4	4	1148	0.082
13BTS004	2011	F	8	0	0	1149.5	-0.132
13BTS080	2011	F	8	0	0	1149.5	-0.016
13BTS193	2013	F	2	3	2	1150.5	0.266
13BTS272	2015	F	2	0	0	1154.5	-0.301
13BTS010	2010	F	0	6	3	1166	0.235
13BTS079	2010	F	0	1	1	1170	-0.06
13BTS039	2011	F	5	0	0	1183	-0.041
13BTS381	2018	F	0	0	0	1186.667	0.237
13BTS093	2010	F	1	0	0	1204.5	0.28
13BTS093	2011	F	2	0	0	1210.5	0.091
13BTS222	2015	F	0	0	0	1211.5	-0.201
13BTS049	2011	F	9	0	0	1214	0.058
13BTS049	2010	F	0	1	1	1232.286	0.236
13BTS134	2013	F	2	2	1	1240.333	0.131
13BTS134	2015	F	3	0	0	1256	-0.424
13BTS006	2008	M	1	0	0	940	-0.158
13BTS025	2010	M	0	0	0	942	-0.039
13BTS322	2012	M	0	0	0	942.5	0.044
13BTS121	2007	M	0	0	0	948	-0.054
13BTS169	2010	M	0	0	0	949.4	0.009
13BTS148	2011	M	0	0	0	952	-0.236
13BTS316	2011	M	0	0	0	952	0.1
13BTS325	2012	M	1	0	0	955.625	-0.041
13BTS024	2008	M	0	0	0	956	-0.034
13BTS247	2012	M	1	0	0	957.25	0.058
13BTS118	2009	M	0	0	0	957.8	0.276
13BTS052	2009	M	5	0	0	958.25	0.26
13BTS113	2009	M	3	0	0	961.75	0.278
13BTS108	2008	M	3	0	0	962	-0.115
13BTS061	2008	M	4	0	0	962.75	0.032
13BTS078	2007	M	5	0	0	963	-0.108
13BTS419	2016	M	0	0	0	965	-0.241
13BTS529	2015	M	0	0	0	968	-0.196
13BTS285	2013	M	0	0	0	971	-0.021
13BTS403	2017	M	0	0	0	971	-0.021
13BTS299	2012	M	1	0	0	974.25	-0.028
13BTS288	2015	M	0	0	0	974.5	-0.004
13BTS374	2015	M	0	0	0	976	-0.201
13BTS084	2008	M	8	1	1	976.4	-0.144
13BTS423	2016	M	0	0	0	977.75	-0.165
13BTS025	2011	M	1	0	0	980	-0.053
13BTS086	2008	M	0	0	0	980	-0.081
13BTS066	2006	M	0	0	0	980.333	0.021
13BTS518	2017	M	2	0	0	981.2	-0.139
13BTS377	2015	M	0	0	0	983.5	-0.198
13BTS254	2012	M	11	0	0	984	0.014
13BTS187	2012	M	0	0	0	984.4	-0.119
13BTS565	2016	M	0	0	0	985	-0.096
13BTS510	2016	M	0	0	0	985.167	-0.043
13BTS553	2013	M	3	0	0	986.8	-0.112
13BTS649	2018	M	0	0	0	988	0.061
13BTS441	2016	M	0	0	0	990	-0.077
13BTS404	2017	M	0	0	0	990.364	-0.027
13BTS123	2011	M	1	0	0	990.5	-0.19
13BTS005	2006	M	0	0	0	991.8	-0.052
13BTS101	2008	M	1	0	0	992	-0.044
13BTS527	2015	M	0	1	1	993	-0.171
13BTS112	2006	M	0	0	0	993.2	-0.15
13BTS022	2008	M	2	0	0	993.25	-0.001
13BTS367	2016	M	0	0	0	993.333	-0.062
13BTS352	2015	M	3	0	0	997	-0.142
13BTS640	2016	M	0	0	0	997	-0.171
13BTS558	2015	M	2	0	0	998	-0.126
13BTS419	2017	M	8	0	0	1000.238	-0.206
13BTS403	2016	M	0	0	0	1001	-0.135
13BTS036	2009	M	3	1	1	1001.857	0.279
13BTS087	2007	M	12	1	1	1004.875	-0.139
13BTS069	2008	M	3	0	0	1005.25	0.048
13BTS034	2008	M	3	0	0	1005.75	-0.067
13BTS091	2008	M	6	0	0	1006.667	-0.016
13BTS574	2016	M	0	0	0	1006.667	-0.08
13BTS563	2016	M	0	0	0	1010.25	-0.314
13BTS104	2011	M	1	0	0	1012	-0.163
13BTS423	2017	M	5	0	0	1012.111	-0.124
13BTS548	2017	M	1	0	0	1012.857	-0.028
13BTS105	2009	M	4	0	0	1013	0.32
13BTS019	2006	M	0	0	0	1013.714	0.004
13BTS504	2016	M	0	0	0	1013.75	-0.081
13BTS041	2009	M	4	2	2	1014.111	0.303
13BTS085	2011	M	1	0	0	1014.5	-0.085
13BTS563	2017	M	0	0	0	1017.667	-0.194
13BTS591	2017	M	0	0	0	1018.25	-0.377
13BTS575	2016	M	0	0	0	1022.667	-0.115
13BTS262	2013	M	11	0	0	1023.588	-0.023
13BTS077	2009	M	11	1	1	1023.909	0.613
13BTS373	2016	M	0	0	0	1023.909	-0.126
13BTS253	2012	M	3	0	0	1024.75	-0.101
13BTS535	2017	M	2	0	0	1026	0.007
13BTS106	2009	M	0	0	0	1026.286	0.373
13BTS267	2012	M	1	0	0	1027.5	-0.178
13BTS027	2009	M	8	0	0	1027.571	0.231
13BTS072	2008	M	3	0	0	1027.6	0.01
13BTS442	2016	M	0	2	2	1028.333	-0.217
13BTS565	2017	M	2	0	0	1028.8	-0.033
13BTS058	2005	M	3	0	0	1030.333	-0.003
13BTS620	2016	M	0	0	0	1032	-0.125
13BTS591	2016	M	2	0	0	1034	-0.289
13BTS054	2009	M	0	1	1	1035	0.283
13BTS640	2017	M	3	0	0	1036	-0.074
13BTS092	2007	M	8	0	0	1037.667	0.028
13BTS097	2009	M	6	0	0	1039.625	0.566
13BTS323	2015	M	0	0	0	1040	-0.089
13BTS527	2016	M	0	0	0	1040.333	-0.313
13BTS299	2013	M	8	0	0	1041.375	-0.14
13BTS073	2008	M	7	1	1	1042.4	-0.139
13BTS472	2017	M	2	0	0	1043.1	-0.141
13BTS034	2009	M	0	0	0	1043.5	0.081
13BTS110	2009	M	0	0	0	1043.5	0.552
13BTS576	2016	M	0	1	1	1044.25	-0.152
13BTS121	2008	M	6	0	0	1044.5	-0.052
13BTS597	2017	M	2	0	0	1047.5	0.026
13BTS349	2015	M	0	0	0	1048	-0.15
13BTS574	2017	M	0	0	0	1049.25	-0.045
13BTS558	2016	M	0	0	0	1049.5	-0.21
13BTS023	2008	M	7	1	1	1050.25	-0.148
13BTS529	2016	M	0	3	1	1052	-0.161
13BTS001	2009	M	5	0	0	1052.333	0.428
