ID	FATHER	MOTHER
13BTS328	13BTS162	F0035
13BTS338	13BTS162	F0035
13BTS352	13BTS162	13BTS207
13BTS558	13BTS162	13BTS207
F0017	13BTS031	13BTS059
F0023	13BTS022	NA
13BTS018	13BTS022	NA
13BTS141	13BTS022	13BTS120
13BTS142	M0009	F0015
13BTS145	M0001	13BTS075
13BTS153	M0009	F0015
13BTS160	M0009	F0015
13BTS161	M0009	F0015
13BTS164	13BTS022	13BTS016
13BTS188	13BTS022	13BTS120
13BTS190	13BTS022	13BTS120
13BTS193	13BTS022	F0005
13BTS208	13BTS022	13BTS016
13BTS209	13BTS022	13BTS096
13BTS214	13BTS102	13BTS050
13BTS222	13BTS022	F0029
13BTS232	M0001	13BTS075
13BTS243	13BTS022	F0029
13BTS261	M0009	13BTS125
13BTS316	13BTS022	13BTS096
13BTS127	13BTS019	13BTS117
13BTS198	13BTS022	13BTS107
13BTS248	13BTS006	13BTS003
13BTS253	13BTS031	13BTS015
13BTS258	13BTS022	13BTS107
13BTS262	13BTS031	13BTS015
13BTS264	13BTS006	F0030
13BTS301	13BTS022	13BTS107
13BTS310	13BTS006	F0047
13BTS311	13BTS031	13BTS015
13BTS326	13BTS022	13BTS119
13BTS346	13BTS162	13BTS174
13BTS323	13BTS260	13BTS174
13BTS324	13BTS260	13BTS159
13BTS342	13BTS260	13BTS159
13BTS343	13BTS162	13BTS159
13BTS348	13BTS162	13BTS174
13BTS360	13BTS246	F0012
13BTS365	13BTS162	13BTS270
13BTS371	13BTS162	F0007
13BTS377	13BTS162	13BTS174
13BTS391	13BTS162	13BTS134
13BTS402	13BTS162	13BTS174
13BTS407	13BTS162	13BTS174
13BTS413	13BTS162	13BTS134
13BTS417	13BTS246	F0012
13BTS429	13BTS162	F0024
13BTS439	13BTS260	F0012
13BTS460	13BTS236	F0007
13BTS517	13BTS162	F0024
13BTS556	13BTS162	F0007
13BTS557	13BTS162	13BTS174
13BTS563	13BTS162	13BTS174
13BTS576	13BTS162	13BTS272
13BTS608	13BTS162	F0024
13BTS361	13BTS206	13BTS270
13BTS367	13BTS140	13BTS239
13BTS379	13BTS260	13BTS339
13BTS383	13BTS162	13BTS134
13BTS384	13BTS236	13BTS270
13BTS388	13BTS200	13BTS278
13BTS395	13BTS140	13BTS255
13BTS400	13BTS260	13BTS204
13BTS403	13BTS140	13BTS540
13BTS405	13BTS140	NA
13BTS406	13BTS140	13BTS272
13BTS408	13BTS260	13BTS339
13BTS423	13BTS267	13BTS540
13BTS436	13BTS140	13BTS191
13BTS445	13BTS246	13BTS159
13BTS457	13BTS162	13BTS134
13BTS504	13BTS140	13BTS255
13BTS565	13BTS200	13BTS278
13BTS574	13BTS140	13BTS191
13BTS591	13BTS162	13BTS272
13BTS598	13BTS140	13BTS239
13BTS620	13BTS236	13BTS270
13BTS640	13BTS236	13BTS272
13BTS670	13BTS267	F0043
13BTS364	13BTS200	13BTS278
13BTS366	13BTS281	13BTS255
13BTS399	13BTS325	13BTS255
13BTS404	13BTS281	13BTS255
13BTS535	13BTS200	13BTS278
13BTS561	13BTS140	13BTS272
13BTS597	13BTS260	13BTS239
F0040	13BTS141	NA
